Model,Metric,Method,Value,Rank,Score,Class,Icon
Logistic Regression,Accuracy,BASELINE,0.9824561403508772,1,3,Overall,⚪
Logistic Regression,Accuracy,SMOTE,0.9649122807017544,2,2,Overall,⚪
Logistic Regression,Accuracy,RUS,0.956140350877193,3,1,Overall,⚪
Logistic Regression,F1_Score,BASELINE,0.9824561403508772,1,3,Overall,⚪
Logistic Regression,F1_Score,SMOTE,0.965073180823004,2,2,Overall,⚪
Logistic Regression,F1_Score,RUS,0.9564299597121932,3,1,Overall,⚪
Logistic Regression,ROC_AUC,BASELINE,0.9953703703703703,1,3,Overall,⚪
Logistic Regression,ROC_AUC,SMOTE,0.9953703703703703,2,2,Overall,⚪
Logistic Regression,ROC_AUC,RUS,0.994047619047619,3,1,Overall,⚪
Logistic Regression,Recall_Malignant,BASELINE,0.9761904761904762,1,3,Malignant,🔴
Logistic Regression,Recall_Malignant,SMOTE,0.9761904761904762,2,2,Malignant,🔴
Logistic Regression,Recall_Malignant,RUS,0.9761904761904762,3,1,Malignant,🔴
Logistic Regression,Precision_Malignant,BASELINE,0.9761904761904762,1,3,Malignant,🔴
Logistic Regression,Precision_Malignant,SMOTE,0.9318181818181818,2,2,Malignant,🔴
Logistic Regression,Precision_Malignant,RUS,0.9111111111111112,3,1,Malignant,🔴
Logistic Regression,F1_Malignant,BASELINE,0.9761904761904762,1,3,Malignant,🔴
Logistic Regression,F1_Malignant,SMOTE,0.9534883720930232,2,2,Malignant,🔴
Logistic Regression,F1_Malignant,RUS,0.942528735632184,3,1,Malignant,🔴
Logistic Regression,Recall_Benign,BASELINE,0.9861111111111112,1,3,Benign,🔵
Logistic Regression,Recall_Benign,SMOTE,0.9583333333333334,2,2,Benign,🔵
Logistic Regression,Recall_Benign,RUS,0.9444444444444444,3,1,Benign,🔵
Logistic Regression,Precision_Benign,BASELINE,0.9861111111111112,1,3,Benign,🔵
Logistic Regression,Precision_Benign,SMOTE,0.9857142857142858,2,2,Benign,🔵
Logistic Regression,Precision_Benign,RUS,0.9855072463768116,3,1,Benign,🔵
Logistic Regression,F1_Benign,BASELINE,0.9861111111111112,1,3,Benign,🔵
Logistic Regression,F1_Benign,SMOTE,0.971830985915493,2,2,Benign,🔵
Logistic Regression,F1_Benign,RUS,0.9645390070921984,3,1,Benign,🔵
Decision Tree,Accuracy,RUS,0.956140350877193,1,3,Overall,⚪
Decision Tree,Accuracy,SMOTE,0.9385964912280702,2,2,Overall,⚪
Decision Tree,Accuracy,BASELINE,0.9035087719298246,3,1,Overall,⚪
Decision Tree,F1_Score,RUS,0.9560273762928302,1,3,Overall,⚪
Decision Tree,F1_Score,SMOTE,0.9387429907553746,2,2,Overall,⚪
Decision Tree,F1_Score,BASELINE,0.9044837459423354,3,1,Overall,⚪
Decision Tree,ROC_AUC,RUS,0.9479166666666669,1,3,Overall,⚪
Decision Tree,ROC_AUC,SMOTE,0.9360119047619048,2,2,Overall,⚪
Decision Tree,ROC_AUC,BASELINE,0.921626984126984,3,1,Overall,⚪
Decision Tree,Recall_Malignant,BASELINE,0.9285714285714286,1,3,Malignant,🔴
Decision Tree,Recall_Malignant,SMOTE,0.9285714285714286,2,2,Malignant,🔴
Decision Tree,Recall_Malignant,RUS,0.9285714285714286,3,1,Malignant,🔴
Decision Tree,Precision_Malignant,RUS,0.951219512195122,1,3,Malignant,🔴
Decision Tree,Precision_Malignant,SMOTE,0.9069767441860463,2,2,Malignant,🔴
Decision Tree,Precision_Malignant,BASELINE,0.8297872340425532,3,1,Malignant,🔴
Decision Tree,F1_Malignant,RUS,0.9397590361445785,1,3,Malignant,🔴
Decision Tree,F1_Malignant,SMOTE,0.9176470588235294,2,2,Malignant,🔴
Decision Tree,F1_Malignant,BASELINE,0.8764044943820225,3,1,Malignant,🔴
Decision Tree,Recall_Benign,RUS,0.9722222222222222,1,3,Benign,🔵
Decision Tree,Recall_Benign,SMOTE,0.9444444444444444,2,2,Benign,🔵
Decision Tree,Recall_Benign,BASELINE,0.8888888888888888,3,1,Benign,🔵
Decision Tree,Precision_Benign,RUS,0.958904109589041,1,3,Benign,🔵
Decision Tree,Precision_Benign,SMOTE,0.9577464788732394,2,2,Benign,🔵
Decision Tree,Precision_Benign,BASELINE,0.9552238805970148,3,1,Benign,🔵
Decision Tree,F1_Benign,RUS,0.9655172413793104,1,3,Benign,🔵
Decision Tree,F1_Benign,SMOTE,0.951048951048951,2,2,Benign,🔵
Decision Tree,F1_Benign,BASELINE,0.920863309352518,3,1,Benign,🔵
Random Forest,Accuracy,BASELINE,0.9473684210526316,1,3,Overall,⚪
Random Forest,Accuracy,SMOTE,0.9473684210526316,2,2,Overall,⚪
Random Forest,Accuracy,RUS,0.9385964912280702,3,1,Overall,⚪
Random Forest,F1_Score,SMOTE,0.9478127136021872,1,3,Overall,⚪
Random Forest,F1_Score,BASELINE,0.9473684210526316,2,2,Overall,⚪
Random Forest,F1_Score,RUS,0.9390019435970705,3,1,Overall,⚪
Random Forest,ROC_AUC,SMOTE,0.9950396825396826,1,3,Overall,⚪
Random Forest,ROC_AUC,BASELINE,0.9947089947089948,2,2,Overall,⚪
Random Forest,ROC_AUC,RUS,0.9933862433862434,3,1,Overall,⚪
Random Forest,Recall_Malignant,SMOTE,0.9761904761904762,1,3,Malignant,🔴
Random Forest,Recall_Malignant,RUS,0.9523809523809524,2,2,Malignant,🔴
Random Forest,Recall_Malignant,BASELINE,0.9285714285714286,3,1,Malignant,🔴
Random Forest,Precision_Malignant,BASELINE,0.9285714285714286,1,3,Malignant,🔴
Random Forest,Precision_Malignant,SMOTE,0.8913043478260869,2,2,Malignant,🔴
Random Forest,Precision_Malignant,RUS,0.8888888888888888,3,1,Malignant,🔴
Random Forest,F1_Malignant,SMOTE,0.9318181818181818,1,3,Malignant,🔴
Random Forest,F1_Malignant,BASELINE,0.9285714285714286,2,2,Malignant,🔴
Random Forest,F1_Malignant,RUS,0.9195402298850576,3,1,Malignant,🔴
Random Forest,Recall_Benign,BASELINE,0.9583333333333334,1,3,Benign,🔵
Random Forest,Recall_Benign,SMOTE,0.9305555555555556,2,2,Benign,🔵
Random Forest,Recall_Benign,RUS,0.9305555555555556,3,1,Benign,🔵
Random Forest,Precision_Benign,SMOTE,0.9852941176470588,1,3,Benign,🔵
Random Forest,Precision_Benign,RUS,0.9710144927536232,2,2,Benign,🔵
Random Forest,Precision_Benign,BASELINE,0.9583333333333334,3,1,Benign,🔵
Random Forest,F1_Benign,BASELINE,0.9583333333333334,1,3,Benign,🔵
Random Forest,F1_Benign,SMOTE,0.9571428571428572,2,2,Benign,🔵
Random Forest,F1_Benign,RUS,0.950354609929078,3,1,Benign,🔵
