Model,Method,Metric,Baseline_Value,Method_Value,Absolute_Improvement,Relative_Improvement_%,Significant_Improvement,Class,Direction
Logistic Regression,SMOTE,Accuracy,0.9824561403508772,0.9649122807017544,-0.01754385964912286,-1.7857142857142911,True,Overall,Negative
Logistic Regression,SMOTE,F1_Score,0.9824561403508772,0.965073180823004,-0.017382959527873276,-1.7693369519442441,True,Overall,Negative
Logistic Regression,SMOTE,ROC_AUC,0.9953703703703703,0.9953703703703703,0.0,0.0,False,Overall,Neutral
Logistic Regression,SMOTE,Recall_Malignant,0.9761904761904762,0.9761904761904762,0.0,0.0,False,Malignant,Neutral
Logistic Regression,SMOTE,Precision_Malignant,0.9761904761904762,0.9318181818181818,-0.044372294372294396,-4.5454545454545485,True,Malignant,Negative
Logistic Regression,SMOTE,F1_Malignant,0.9761904761904762,0.9534883720930232,-0.02270210409745299,-2.325581395348843,True,Malignant,Negative
Logistic Regression,SMOTE,Recall_Benign,0.9861111111111112,0.9583333333333334,-0.02777777777777779,-2.8169014084507054,True,Benign,Negative
Logistic Regression,SMOTE,Precision_Benign,0.9861111111111112,0.9857142857142858,-0.0003968253968253954,-0.04024144869215277,False,Benign,Negative
Logistic Regression,SMOTE,F1_Benign,0.9861111111111112,0.971830985915493,-0.014280125195618165,-1.448125371950011,True,Benign,Negative
Decision Tree,SMOTE,Accuracy,0.9035087719298246,0.9385964912280702,0.03508771929824561,3.8834951456310676,True,Overall,Positive
Decision Tree,SMOTE,F1_Score,0.9044837459423354,0.9387429907553746,0.034259244813039214,3.7877126003349297,True,Overall,Positive
Decision Tree,SMOTE,ROC_AUC,0.921626984126984,0.9360119047619048,0.014384920634920806,1.5608180839612675,True,Overall,Positive
Decision Tree,SMOTE,Recall_Malignant,0.9285714285714286,0.9285714285714286,0.0,0.0,False,Malignant,Neutral
Decision Tree,SMOTE,Precision_Malignant,0.8297872340425532,0.9069767441860463,0.07718951014349318,9.302325581395332,True,Malignant,Positive
Decision Tree,SMOTE,F1_Malignant,0.8764044943820225,0.9176470588235294,0.04124256444150687,4.705882352941168,True,Malignant,Positive
Decision Tree,SMOTE,Recall_Benign,0.8888888888888888,0.9444444444444444,0.05555555555555558,6.250000000000003,True,Benign,Positive
Decision Tree,SMOTE,Precision_Benign,0.9552238805970148,0.9577464788732394,0.0025225982762245858,0.2640845070422614,False,Benign,Positive
Decision Tree,SMOTE,F1_Benign,0.920863309352518,0.951048951048951,0.030185641696433008,3.2779720279720217,True,Benign,Positive
Random Forest,SMOTE,Accuracy,0.9473684210526316,0.9473684210526316,0.0,0.0,False,Overall,Neutral
Random Forest,SMOTE,F1_Score,0.9473684210526316,0.9478127136021872,0.0004442925495555805,0.0468975468975335,False,Overall,Positive
Random Forest,SMOTE,ROC_AUC,0.9947089947089948,0.9950396825396826,0.0003306878306877925,0.03324468085105999,False,Overall,Positive
Random Forest,SMOTE,Recall_Malignant,0.9285714285714286,0.9761904761904762,0.04761904761904756,5.1282051282051215,True,Malignant,Positive
Random Forest,SMOTE,Precision_Malignant,0.9285714285714286,0.8913043478260869,-0.037267080745341685,-4.013377926421413,True,Malignant,Negative
Random Forest,SMOTE,F1_Malignant,0.9285714285714286,0.9318181818181818,0.0032467532467531646,0.3496503496503408,False,Malignant,Positive
Random Forest,SMOTE,Recall_Benign,0.9583333333333334,0.9305555555555556,-0.02777777777777779,-2.898550724637682,True,Benign,Negative
Random Forest,SMOTE,Precision_Benign,0.9583333333333334,0.9852941176470588,0.026960784313725394,2.8132992327365627,True,Benign,Positive
Random Forest,SMOTE,F1_Benign,0.9583333333333334,0.9571428571428572,-0.0011904761904761862,-0.1242236024844716,False,Benign,Negative
Logistic Regression,RUS,Accuracy,0.9824561403508772,0.956140350877193,-0.026315789473684292,-2.678571428571437,True,Overall,Negative
Logistic Regression,RUS,F1_Score,0.9824561403508772,0.9564299597121932,-0.026026180638684004,-2.649093386437479,True,Overall,Negative
Logistic Regression,RUS,ROC_AUC,0.9953703703703703,0.994047619047619,-0.001322751322751392,-0.13289036544851196,False,Overall,Negative
Logistic Regression,RUS,Recall_Malignant,0.9761904761904762,0.9761904761904762,0.0,0.0,False,Malignant,Neutral
Logistic Regression,RUS,Precision_Malignant,0.9761904761904762,0.9111111111111112,-0.06507936507936496,-6.666666666666654,True,Malignant,Negative
Logistic Regression,RUS,F1_Malignant,0.9761904761904762,0.942528735632184,-0.033661740558292186,-3.4482758620689555,True,Malignant,Negative
Logistic Regression,RUS,Recall_Benign,0.9861111111111112,0.9444444444444444,-0.04166666666666674,-4.225352112676064,True,Benign,Negative
